10-Year T-Note;ZN
10-Year T-Note;TY
5-Year T-Note;ZF
5-Year T-Note;FV
Chicago SRW Wheat;ZW
Chicago SRW Wheat;W
Class III Milk;DL
Class III Milk;DA
Cocoa Futures;CC
Coffee;KC
Copper;HG
Corn;ZC
Corn;C
Cotton Futures;CT
Crude Oil;CL
Feeder Cattle;GF
Feeder Cattle;FC
Gold;GC
Henry Hub Natural Gas;NG
KC HRW Wheat;KE
KC HRW Wheat;KW
Lean Hog;HE
Lean Hog;LH
Live Cattle;LE
Live Cattle;LC
NY Harbor ULSD;HO
Oats;ZO
Oats;O
orange juice;OJ
Palladium;PA
Platinum;PL
Random Length Lumber Futures;LS
Random Length Lumber Futures;LB
RBOB Gasoline;RB
Rough Rice;ZR
Rough Rice;RC
S&P 500 Index;SP
Silver;SI
Soybean;ZS
Soybean;S
Soybean Meal;ZM
Soybean Meal;SM
Soybean Oil;ZL
Soybean Oil;BO
Spring Wheat;MW
Sugar #11 Futures;SB
T-Bond;ZB
T-Bond;US
