"","x"
"1","PACB US Equity"
"2","FMI US Equity"
"3","OPHT US Equity"
"4","ALKS US Equity"
"5","CELG US Equity"
"6","REGN US Equity"
"7","INCY US Equity"
"8","JNJ US Equity"
"9","NOVN VX Equity"
"10","NKTR US Equity"
"11","INSY US Equity"
"12","HTWR US Equity"
"13","LGND US Equity"
"14","MDVN US Equity"
"15","DEPO US Equity"
"16","AMAG US Equity"
"17","UTHR US Equity"
"18","AFFX US Equity"
"19","MDXG US Equity"
"20","GILD US Equity"
"21","MMSI US Equity"
"22","EBS US Equity"
"23","JAZZ US Equity"
"24","AMGN US Equity"
"25","PFE US Equity"
"26","HZNP US Equity"
"27","BIIB US Equity"
"28","PCRX US Equity"
"29","MRK US Equity"
"30","ZLTQ US Equity"
"31","AZN LN Equity"
"32","BMY US Equity"
"33","DXCM US Equity"
"34","ANIP US Equity"
"35","ACOR US Equity"
"36","ILMN US Equity"
"37","LLY US Equity"
"38","ABBV US Equity"
"39","MDCO US Equity"
"40","NOVOB DC Equity"
"41","HQY US Equity"
"42","DPLO US Equity"
"43","ARAY US Equity"
"44","ALXN US Equity"
"45","QDEL US Equity"
"46","MYGN US Equity"
"47","ELGX US Equity"
"48","SAN FP Equity"
"49","RGEN US Equity"
"50","LCI US Equity"
"51","CXR CN Equity"
"52","ATRC US Equity"
"53","CPHD US Equity"
"54","BAYN GR Equity"
"55","GHDX US Equity"
"56","AGN US Equity"
"57","SHP LN Equity"
"58","ABMD US Equity"
"59","LMNX US Equity"
"60","VRX CN Equity"
"61","AMRI US Equity"
"62","GSK LN Equity"
"63","OFIX US Equity"
"64","IPXL US Equity"
"65","BABY US Equity"
"66","LIVN US Equity"
"67","HNGR US Equity"
"68","LDRH US Equity"
"69","PRAH US Equity"
"70","PBH US Equity"
"71","ATLN SW Equity"
"72","PODD US Equity"
"73","INDV LN Equity"
"74","AKRX US Equity"
"75","WMGI US Equity"
"76","SPNC US Equity"
"77","MRK GR Equity"
"78","ANIK US Equity"
"79","NXTM US Equity"
"80","MNK US Equity"
"81","ALOG US Equity"
"82","QGEN US Equity"
"83","BRKR US Equity"
"84","GMED US Equity"
"85","ZTS US Equity"
"86","SGNT US Equity"
"87","NUVA US Equity"
"88","CBM US Equity"
"89","A US Equity"
"90","CYNO US Equity"
"91","MDAS US Equity"
"92","HOLX US Equity"
"93","BSX US Equity"
"94","MYL US Equity"
"95","MEDAA SS Equity"
"96","EW US Equity"
"97","MDT US Equity"
"98","DHR US Equity"
"99","PRSC US Equity"
"100","CYH US Equity"
"101","SN/ LN Equity"
"102","UNH US Equity"
"103","ISRG US Equity"
"104","THC US Equity"
"105","ICUI US Equity"
"106","ENDP US Equity"
"107","ALGN US Equity"
"108","DRW3 GR Equity"
"109","MASI US Equity"
"110","TMO US Equity"
"111","ABT US Equity"
"112","STJ US Equity"
"113","EKTAB SS Equity"
"114","ACET US Equity"
"115","GN DC Equity"
"116","GRF SM Equity"
"117","ABAX US Equity"
"118","VIVO US Equity"
"119","PHIA NA Equity"
"120","HAE US Equity"
"121","RMD US Equity"
"122","ITGR US Equity"
"123","ALR US Equity"
"124","PRGO US Equity"
"125","HYH US Equity"
"126","SYK US Equity"
"127","TECH US Equity"
"128","SAZ GR Equity"
"129","NEOG US Equity"
"130","BAX US Equity"
"131","CNMD US Equity"
"132","WAT US Equity"
"133","DIA IM Equity"
"134","ANTM US Equity"
"135","PKI US Equity"
"136","VAR US Equity"
"137","IART US Equity"
"138","STE US Equity"
"139","ZBH US Equity"
"140","VWR US Equity"
"141","PINC US Equity"
"142","BCR US Equity"
"143","LPNT US Equity"
"144","GETIB SS Equity"
"145","COO US Equity"
"146","FRE GR Equity"
"147","HRC US Equity"
"148","IDXX US Equity"
"149","BDX US Equity"
"150","SIRO US Equity"
"151","BIO US Equity"
"152","1469138D US Equity"
