Ticker;Name;Market Cap;12M IVOL 100% Mny;R&D/Net Sales:Q;;;;
UTHR US Equity;UNITED THERAPEUTICS CORP;3598298880;46.5019989;23.79827118;;;;
SLXP US Equity;SALIX PHARMACEUTICALS LTD;2720744960;44.12390137;24.47379875;;;;
ACOR US Equity;ACORDA THERAPEUTICS INC;1065312640;51.86869812;12.52721977;;;;
CBST US Equity;CUBIST PHARMACEUTICALS LLC;1269047808;40.88809967;22.80454826;;;;
MRK US Equity;MERCK & CO. INC.;1.11035E+11;24.21520042;20.64198303;;;;
NOVN VX Equity;NOVARTIS AG-REG;1.55196E+11;18.17440033;19.87519455;;;;
PFE US Equity;PFIZER INC;1.40254E+11;24.88619995;13.56749725;;;;
ATLN SW Equity;ACTELION LTD-REG;7046357504;31.34810066;25.1974659;;;;
ILMN US Equity;ILLUMINA INC;7920286720;35.8830986;18.88002586;;;;
JNJ US Equity;JOHNSON & JOHNSON;1.69856E+11;18.14049911;11.05993938;;;;
BSX US Equity;BOSTON SCIENTIFIC CORP;11506979840;40.10150146;12.00417519;;;;
NUVA US Equity;NUVASIVE INC;1011323072;44.76649857;8.385857582;;;;
VPHM US Equity;SHIRE VIROPHARMA INC;1350653440;44.07920074;8.649951935;;;;
AMGN US Equity;AMGEN INC;51870367744;26.39629936;18.84171867;;;;
SAN FP Equity;SANOFI;83844800512;24.79190063;13.13718414;;;;
GSK LN Equity;GLAXOSMITHKLINE PLC;1.00436E+11;20.40369987;14.73653316;;;;
ALXN US Equity;ALEXION PHARMACEUTICALS INC;7289026048;30.93230057;17.76730728;;;;
LLY US Equity;ELI LILLY & CO;40406142976;20.62240028;21.57459068;;;;
MYGN US Equity;MYRIAD GENETICS INC;2110048384;40.75220108;6.272725105;;;;
BMY US Equity;BRISTOL-MYERS SQUIBB CO;45325426688;23.07169914;17.1738224;;;;
1284849D US Equity;ALLERGAN INC;21116841984;27.58869934;16.05694389;;;;
ISRG US Equity;INTUITIVE SURGICAL INC;10127874048;37.31539917;7.810685158;;;;
GILD US Equity;GILEAD SCIENCES INC;29422084096;30.28639984;11.89272022;;;;
EW US Equity;EDWARDS LIFESCIENCES CORP;9230205952;30.13319969;15.10461521;;;;
BAYN GR Equity;BAYER AG-REG;61123002368;26.65189934;9.043234825;;;;
A US Equity;AGILENT TECHNOLOGIES INC;14401241088;32.06539917;10.0888319;;;;
ABT US Equity;ABBOTT LABORATORIES;74060038144;20.39570045;12.43790913;;;;
HOLX US Equity;HOLOGIC INC;4891131904;36.13669968;6.363311768;;;;
AZN LN Equity;ASTRAZENECA PLC;64189960192;20.0461998;13.63636398;;;;
MDT US Equity;MEDTRONIC PLC;39815229440;27.05590057;9.556751251;;;;
1255459D US Equity;LIFE TECHNOLOGIES CORP;10363381760;30.23559952;10.38621521;;;;
FRX US Equity;FOREST LABORATORIES INC;9134076928;26.42679977;14.31099987;;;;
PHIA NA Equity;KONINKLIJKE PHILIPS NV;30208395264;30.73839951;6.3646698;;;;
SAZ GR Equity;STADA ARZNEIMITTEL AG;1997258624;37.80540085;3.285533905;;;;
ALR US Equity;ALERE INC;3105440512;34.86619949;6.021026134;;;;
MRK GR Equity;MERCK KGAA;17390135296;23.60790062;14.85300446;;;;
STJ US Equity;ST JUDE MEDICAL INC;14657704960;26.69890022;12.10858917;;;;
NOBN SW Equity;NOBEL BIOCARE HOLDING AG-REG;2336781824;32.46649933;5.917235851;;;;
AGN US Equity;ALLERGAN PLC;6844322304;26.65789986;8.590209007;;;;
MYL US Equity;MYLAN NV;9196173312;29.52829933;5.312620163;;;;
SYK US Equity;STRYKER CORP;21325348864;27.07819939;5.578185081;;;;
BAX US Equity;BAXTER INTERNATIONAL INC;29497649152;24.77930069;6.420596123;;;;
DHR US Equity;DANAHER CORP;30847021056;24.55509949;6.350430965;;;;
VAR US Equity;VARIAN MEDICAL SYSTEMS INC;8243336192;27.61160088;6.21070385;;;;
PRGO US Equity;PERRIGO CO PLC;5924324864;31.23430061;2.76413393;;;;
ZBH US Equity;ZIMMER BIOMET HOLDINGS INC;10598746112;26.75349998;5.968912125;;;;
HSP US Equity;HOSPIRA INC;9304567808;25.93199921;6.868218899;;;;
RHK GR Equity;RHOEN-KLINIKUM AG;3043011584;24.45630074;0;;;;
FME GR Equity;FRESENIUS MEDICAL CARE AG &;17414156288;20.63500023;0.74536401;;;;
ROG VX Equity;ROCHE HOLDING AG-GENUSSCHEIN;1.27529E+11;19.15189934;;;;;
NOVOB DC Equity;NOVO NORDISK A/S-B;67676860416;;14.77156067;;;;
ACL US Equity;ALCON INC;49335332864;;10.45454502;;;;
UNH US Equity;UNITEDHEALTH GROUP INC;39718768640;31.23340034;;;;;
ESRX US Equity;EXPRESS SCRIPTS HOLDING CO;28441704448;29.60099983;;;;;
CELG US Equity;CELGENE CORP;27833673728;31.00250053;27.85890961;;;;
MHS US Equity;MEDCO HEALTH SOLUTIONS INC;26003087360;;0;;;;
COV US Equity;COVIDIEN LTD;22610333696;;4.719100952;;;;
ANTM US Equity;ANTHEM INC;22380662784;31.42110062;;;;;
TMO US Equity;THERMO FISHER SCIENTIFIC INC;22004359168;;2.679337025;;;;
BDX US Equity;BECTON DICKINSON AND CO;19436320768;;6.598671913;;;;
GENZ US Equity;GENZYME CORP;18440159232;;20.66789818;;;;
MCK US Equity;MCKESSON CORP;17810573312;25.69059944;;;;;
SYST VX Equity;SYNTHES INC-144A/REGS;16055328768;19.47310066;;;;;
BIIB US Equity;BIOGEN INC;15978169344;26.60059929;27.13531113;;;;
FRE GR Equity;FRESENIUS SE & CO KGAA;13734759424;;1.451027989;;;;
EI FP Equity;ESSILOR INTERNATIONAL;13569503232;19.39959908;;;;;
SHP LN Equity;SHIRE PLC;13524885504;;22.63525009;;;;
CAH US Equity;CARDINAL HEALTH INC;13368665088;26.35420036;;;;;
AET US Equity;AETNA INC;12207050752;30.50079918;;;;;
CI US Equity;CIGNA CORP;9931927552;31.16040039;;;;;
ABC US Equity;AMERISOURCEBERGEN CORP;9428982784;27.40060043;;;;;
SN/ LN Equity;SMITH & NEPHEW PLC;9386687488;;4.038257122;;;;
HUM US Equity;HUMANA INC;9213754368;30.17880058;;;;;
DGX US Equity;QUEST DIAGNOSTICS INC;9196752896;24.25810051;;;;;
LH US Equity;LABORATORY CRP OF AMER HLDGS;8941463552;;0.235018;;;;
SOON VX Equity;SONOVA HOLDING AG-REG;8541757440;24.96339989;;;;;
BCR US Equity;CR BARD INC;8525671936;;7.001769066;;;;
VRX CN Equity;VALEANT PHARMACEUTICALS INTE;8399291392;;6.865225792;;;;
VRTX US Equity;VERTEX PHARMACEUTICALS INC;7117892608;43.4048996;716.2597046;;;;
WAT US Equity;WATERS CORP;7097254400;;5.117720127;;;;
DVA US Equity;DAVITA INC;6754427904;24.00390053;;;;;
UCB BB Equity;UCB SA;6291351552;;;;;;
COLOB DC Equity;COLOPLAST-B;6116740096;;4.131903172;;;;
CFN US Equity;CAREFUSION CORP;5729632768;;4.405285835;;;;
PLL US Equity;PALL CORP;5725101568;;3.331093073;;;;
WCRX US Equity;WARNER CHILCOTT PLC-CLASS A;5695310336;;4.730429173;;;;
HSIC US Equity;HENRY SCHEIN INC;5664645632;;0;;;;
RMD US Equity;RESMED INC;5237277184;;6.999348164;;;;
BEC US Equity;BECKMAN COULTER INC;5209542144;;7.406579018;;;;
DNDNQ US Equity;DENDREON CORP;5039972352;55.65409851;66.9716568;;;;
GETIB SS Equity;GETINGE AB-B SHS;4993272832;;5.65849781;;;;
MTD US Equity;METTLER-TOLEDO INTERNATIONAL;4963407872;;5.098192215;;;;
XRAY US Equity;DENTSPLY SIRONA INC;4855529472;;;;;;
CEPH US Equity;CEPHALON INC;4643411456;;15.47658062;;;;
QGEN US Equity;QIAGEN N.V.;4553265152;;11.29350376;;;;
HGSI US Equity;HUMAN GENOME SCIENCES INC;4509008384;;83.63396454;;;;
WDH DC Equity;WILLIAM DEMANT HOLDING;4310976512;;;;;;
LONN VX Equity;LONZA GROUP AG-REG;4247094528;24.5352993;;;;;
CLS1 GR Equity;MCKESSON EUROPE AG;4228815360;28.87310028;;;;;
UHS US Equity;UNIVERSAL HEALTH SERVICES-B;4217998848;;;;;;
ENDP US Equity;ENDO INTERNATIONAL PLC;4127733248;;7.080564976;;;;
IDXX US Equity;IDEXX LABORATORIES INC;3980412928;;6.380271912;;;;
VIFN VX Equity;VIFOR PHARMA AG;3932433920;26.79780006;;;;;
CVH US Equity;COVENTRY HEALTH CARE INC;3920133376;;;;;;
BIM FP Equity;BIOMERIEUX;3892810240;;;;;;
RICHT HB Equity;RICHTER GEDEON NYRT;3812253440;;9.620310783;;;;
PDCO US Equity;PATTERSON COS INC;3760056064;25.70129967;;;;;
PHST RM Equity;PHARMSTANDARD PJSC;3753887488;;;;;;
LUN DC Equity;H LUNDBECK A/S;3727850752;;21.16606712;;;;
EKTAB SS Equity;ELEKTA AB-B SHS;3622784512;;9.632782936;;;;
STMN SW Equity;STRAUMANN HOLDING AG-REG;3592216576;19.9878006;;;;;
KG US Equity;KP PHARMACEUTICALS LLC;3512058880;;6.852562904;;;;
CYH US Equity;COMMUNITY HEALTH SYSTEMS INC;3458481408;;;;;;
CVD US Equity;COVANCE INC;3334010624;;;;;;
THC US Equity;TENET HEALTHCARE CORP;3248221184;28.00510025;;;;;
ELN ID Equity;PERRIGO CORP DAC;3246049024;;22.67235374;;;;
PPDI US Equity;PHARMACEUTICAL PRODUCT DEVEL;3225776384;;0.128635004;;;;
MD US Equity;MEDNAX INC;3209006336;;;;;;
ORNBV FH Equity;ORION OYJ-CLASS B;3092649728;;9.146341324;;;;
PKI US Equity;PERKINELMER INC;3047911680;;5.681592941;;;;
KCI US Equity;KINETIC CONCEPTS INC;3013588480;;4.119335175;;;;
KRKG SV Equity;KRKA;2980715520;;10.39431572;;;;
OCR US Equity;OMNICARE INC;2952367104;;;;;;
TLCR US Equity;TALECRIS BIOTHERAPEUTICS;2920070144;;4.587948799;;;;
GRF SM Equity;GRIFOLS SA;2904781568;;;;;;
BIO US Equity;BIO-RAD LABORATORIES-A;2890636800;;9.093069077;;;;
EMS US Equity;ENVISION HEALTHCARE CORP/CO;2849667840;;;;;;
0991739D US Equity;GEN-PROBE INC;2812919296;;20.69399834;;;;
BMRN US Equity;BIOMARIN PHARMACEUTICAL INC;2760247040;;40.27212143;;;;
BRKR US Equity;BRUKER CORP;2736420352;;10.47711182;;;;
REGN US Equity;REGENERON PHARMACEUTICALS;2701675776;;115.1577225;;;;
LNCR US Equity;LINCARE HOLDINGS INC;2619029248;;;;;;
HNT US Equity;HEALTH NET INC/OLD;2607652352;35.38119888;;;;;
CCT CN Equity;CATAMARAN CORP;2607237376;;0.627650976;;;;
COO US Equity;COOPER COS INC/THE;2582473472;;3.346395969;;;;
BKD US Equity;BROOKDALE SENIOR LIVING INC;2580887808;;;;;;
CRXL NA Equity;CRUCELL NV;2578453248;;32.50572205;;;;
IPN FP Equity;IPSEN;2569773824;;;;;;
HRC US Equity;HILL-ROM HOLDINGS INC;2482463488;;3.756933928;;;;
TECH US Equity;BIO-TECHNE CORP;2435286528;;9.741703033;;;;
HMA US Equity;HEALTH MANAGEMENT ASSOCIATES;2390921472;;;;;;
DIA IM Equity;DIASORIN SPA;2367853568;;4.934923172;;;;
ONXX US Equity;ONYX PHARMACEUTICALS INC;2313323264;43.20980072;36.27513885;;;;
SIRO US Equity;SIRONA DENTAL SYSTEMS INC;2310668032;;6.321522236;;;;
MEDAA SS Equity;MEDA AB-A SHS;2301092608;;20.93203926;;;;
AGP US Equity;AMERIGROUP CORP;2177272576;;;;;;
1339679D US Equity;STERIS CORP;2156488704;;1.763281941;;;;
STE US Equity;STERIS PLC;2156488704;;2.574378014;;;;
TFX US Equity;TELEFLEX INC;2151522816;;2.48604393;;;;
AMLN US Equity;AMYLIN PHARMACEUTICALS LLC;2118175360;;31.03311348;;;;
CHSI US Equity;CATALYST HEALTH SOLUTIONS IN;2087958784;;;;;;
DNEX US Equity;DIONEX CORP;2055864064;;7.789140224;;;;
CRL US Equity;CHARLES RIVER LABORATORIES;2051375872;;;;;;
ITMN US Equity;INTERMUNE INC;2039539328;59.41970062;276.3176575;;;;
INCY US Equity;INCYTE CORP;2038789376;49.3594017;181.4189148;;;;
WOOF US Equity;VCA INC;2007013376;;;;;;
REC IM Equity;RECORDATI SPA;1971990400;;7.631434917;;;;
LPNT US Equity;LIFEPOINT HEALTH INC;1936787456;;;;;;
HLS US Equity;HEALTHSOUTH CORP;1935264640;;;;;;
GN DC Equity;GN STORE NORD A/S;1899959040;;8.974358559;;;;
OMI US Equity;OWENS & MINOR INC;1863990272;;;;;;
INVA US Equity;INNOVIVA INC;1854919296;;349.6227722;;;;
ORP FP Equity;ORPEA;1798835968;;;;;;
MASI US Equity;MASIMO CORP;1712566016;;9.13672924;;;;
ACTI SS Equity;ACTIVE BIOTECH AB;1658388992;;1982.608643;;;;
THOR US Equity;THORATEC LLC;1655870464;;13.55224419;;;;
MRX US Equity;MEDICIS PHARMACEUTICAL CORP;1624157184;;7.001702785;;;;
MGLN US Equity;MAGELLAN HEALTH INC;1585950848;;;;;;
HAE US Equity;HAEMONETICS CORP/MASS;1563502848;;4.767642021;;;;
AFX GR Equity;CARL ZEISS MEDITEC AG - BR;1552470912;;10.63109684;;;;
UAM US Equity;UNIVERSAL AMERICAN CORP;1546566016;;;;;;
0967702D US Equity;HEALTHSPRING INC;1518553344;;;;;;
SGEN US Equity;SEATTLE GENETICS INC;1515699712;;276.9495239;;;;
VIRP FP Equity;VIRBAC SA;1514196736;;;;;;
ALM SM Equity;ALMIRALL SA;1514090368;;;;;;
ALGN US Equity;ALIGN TECHNOLOGY INC;1491122816;;6.870460033;;;;
VRUS US Equity;GILEAD PHARMASSET LLC;1483292032;;6187.649414;;;;
CHE US Equity;CHEMED CORP;1447545344;;;;;;
AMMD US Equity;ASTORA WOMEN'S HEALTH HOLDIN;1442163840;;10.18310165;;;;
VOLC US Equity;VOLCANO CORP;1395431808;;13.97387695;;;;
BLUD US Equity;IMMUCOR INC;1388246784;;5.290468216;;;;
WST US Equity;WEST PHARMACEUTICAL SERVICES;1371885824;;2.173913002;;;;
CPHD US Equity;CEPHEID;1371269888;;19.59860992;;;;
1248911D US Equity;PAR PHARMACEUTICAL COS INC;1370774912;;4.327332973;;;;
IART US Equity;INTEGRA LIFESCIENCES HOLDING;1336527744;;6.279971123;;;;
ICLR US Equity;ICON PLC;1316356480;;;;;;
NXTM US Equity;NXSTAGE MEDICAL INC;1316099712;;6.954899788;;;;
CNC US Equity;CENTENE CORP;1310501248;;;;;;
IPXL US Equity;IMPAX LABORATORIES INC;1291908736;;7.844260216;;;;
WCG US Equity;WELLCARE HEALTH PLANS INC;1285480192;42.02190018;;;;;
SOBI SS Equity;SWEDISH ORPHAN BIOVITRUM AB;1277820288;;25.69819832;;;;
PSSI US Equity;MCKESSON MEDICAL-SURGICAL TO;1248889600;;;;;;
PRXL US Equity;PAREXEL INTERNATIONAL CORP;1234709120;;;;;;
HTWR US Equity;HEARTWARE INTERNATIONAL INC;1214534528;;67.40207672;;;;
NKTR US Equity;NEKTAR THERAPEUTICS;1212164992;;73.10217285;;;;
DRW3 GR Equity;DRAEGERWERK AG - PREF;1200119680;;7.056829929;;;;
SEM US Equity;SELECT MEDICAL HOLDINGS CORP;1177203072;;;;;;
ALKS US Equity;ALKERMES PLC;1174161152;;48.59585571;;;;
MDAS US Equity;MEDASSETS INC;1172130432;;4.867920876;;;;
OME BB Equity;OMEGA PHARMA;1162703616;;;;;;
QMED SS Equity;Q-MED AB;1126822016;;15.77181244;;;;
MEDIQ NA Equity;MEDIQ BV;1116124416;;0;;;;
AMP IM Equity;AMPLIFON SPA;1089607168;;0;;;;
SRN IM Equity;SORIN SPA;1081500800;;;;;;
MATK US Equity;MARTEK BIOSCIENCES CORP;1049160384;;7.697925091;;;;
GENP FP Equity;STALLERGENES;1045107840;;;;;;
1280452D CN Equity;CML HEALTHCARE INC;1030665728;;;;;;
IRWD US Equity;IRONWOOD PHARMACEUTICALS INC;1029204032;;206.8881836;;;;
AUXL US Equity;AUXILIUM PHARMACEUTICALS INC;1006773888;54.44990158;26.9032135;;;;
MNKD US Equity;MANNKIND CORP;1005642176;114.7642975;;;;;
IONS US Equity;IONIS PHARMACEUTICALS INC;1004221760;48.31909943;121.2828369;;;;
TMH US Equity;TEAM HEALTH HOLDINGS INC;1002078272;;;;;;
THR BB Equity;THROMBOGENICS NV;995287808;;;;;;
IVC US Equity;INVACARE CORP;977636352;;;;;;
AMED US Equity;AMEDISYS INC;972441344;46.9598999;;;;;
TECN SW Equity;TECAN GROUP AG-REG;953497536;;9.254328728;;;;
VIVO US Equity;MERIDIAN BIOSCIENCE INC;942088576;;5.765497208;;;;
OPK US Equity;OPKO HEALTH INC;937157568;;27.60889626;;;;
NEOG US Equity;NEOGEN CORP;932734976;;4.18656683;;;;
BTG LN Equity;BTG PLC;930792704;;;;;;
ALGETA NO Equity;ALGETA ASA;921365120;;36.79840851;;;;
QCOR US Equity;QUESTCOR PHARMACEUTICALS;915756736;;6.964251041;;;;
ABC LN Equity;ABCAM PLC;900011328;;;;;;
EXEL US Equity;EXELIXIS INC;894766848;;90.66343689;;;;
MDCA FP Equity;MEDICA SA;888078848;;;;;;
PDLI US Equity;PDL BIOPHARMA INC;870204544;;0;;;;
ESC US Equity;EMERITUS CORP;869674176;;;;;;
CYBX US Equity;CYBERONICS INC;869065664;;11.37507534;;;;
LIVN US Equity;LIVANOVA PLC;869065664;;14.80334759;;;;
DIM FP Equity;SARTORIUS STEDIM BIOTECH;856344768;;6.472197056;;;;
DXCM US Equity;DEXCOM INC;846491072;;52.82064438;;;;
MOH US Equity;MOLINA HEALTHCARE INC;842156160;;;;;;
PACB US Equity;PACIFIC BIOSCIENCES OF CALIF;840413952;;14942.27246;;;;
ARTC US Equity;ARTHROCARE CORP;839598400;;10.67681694;;;;
ZEL SM Equity;ZELTIA SA;821202368;;;;;;
PHM SM Equity;PHARMA MAR SA;821202368;;;;;;
ACIBD TI Equity;ACIBADEM SAGLIK HIZMETLERI V;819194368;;0;;;;
BOI FP Equity;BOIRON SA;818625920;;;;;;
BANB SW Equity;BACHEM HOLDING AG-REG B;815504896;;;;;;
EBS US Equity;EMERGENT BIOSOLUTIONS INC;814535872;;28.59459877;;;;
AMRN US Equity;AMARIN CORP PLC -ADR;810275200;;;;;;
ZOLL US Equity;ZOLL MEDICAL CORP;806196992;;9.723156929;;;;
OSSR IR Equity;OSSUR HF;800549696;;5.4244771;;;;
GDS FP Equity;RAMSAY GENERALE DE SANTE;800115392;;;;;;
HALO US Equity;HALOZYME THERAPEUTICS INC;795444416;;366.5196228;;;;
GTIV US Equity;GENTIVA HEALTH SERVICES;794680320;;;;;;
