"","x"
"1","AMAG US Equity"
"2","THC US Equity"
"3","WCG US Equity"
"4","CYH US Equity"
"5","COX FP Equity"
"6","CI US Equity"
"7","EXEL US Equity"
"8","UNH US Equity"
"9","KND US Equity"
"10","HLS US Equity"
"11","HNT US Equity"
"12","AMED US Equity"
"13","INVA US Equity"
"14","ONXX US Equity"
"15","LPNT US Equity"
"16","SAN FP Equity"
"17","AET US Equity"
"18","HUM US Equity"
"19","VRTX US Equity"
"20","IONS US Equity"
"21","VPHM US Equity"
"22","REGN US Equity"
"23","ALXN US Equity"
"24","OCR US Equity"
"25","ALKS US Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
