dt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2013-12-31,9983 JP Equity,9433 JP Equity,000660 KS Equity,9984 JP Equity,7974 JP Equity,6367 JP Equity,6752 JP Equity,4901 JP Equity,6954 JP Equity,27 HK Equity
2014-03-31,7741 JP Equity,6594 JP Equity,6954 JP Equity,8035 JP Equity,JS SP Equity,4911 JP Equity,4452 JP Equity,JM SP Equity,9022 JP Equity,6758 JP Equity
2014-06-30,000660 KS Equity,6861 JP Equity,8035 JP Equity,6273 JP Equity,7269 JP Equity,8058 JP Equity,051910 KS Equity,4503 JP Equity,7974 JP Equity,4543 JP Equity
2014-09-30,068270 KS Equity,6273 JP Equity,941 HK Equity,4578 JP Equity,6981 JP Equity,4901 JP Equity,12 HK Equity,6503 JP Equity,9983 JP Equity,6954 JP Equity
2014-12-31,005380 KS Equity,6758 JP Equity,005930 KS Equity,4452 JP Equity,8035 JP Equity,1109 HK Equity,4523 JP Equity,6367 JP Equity,8766 JP Equity,4063 JP Equity
2015-03-31,6954 JP Equity,6758 JP Equity,4661 JP Equity,6981 JP Equity,6861 JP Equity,8591 JP Equity,8306 JP Equity,2914 JP Equity,8801 JP Equity,6971 JP Equity
2015-06-30,4911 JP Equity,7269 JP Equity,8035 JP Equity,6981 JP Equity,8316 JP Equity,4519 JP Equity,7741 JP Equity,6367 JP Equity,1 HK Equity,8766 JP Equity
2015-09-30,1925 JP Equity,005380 KS Equity,6861 JP Equity,3382 JP Equity,8801 JP Equity,688 HK Equity,7201 JP Equity,6098 JP Equity,4543 JP Equity,051910 KS Equity
2015-12-31,068270 KS Equity,1925 JP Equity,6367 JP Equity,6178 JP Equity,4543 JP Equity,2914 JP Equity,4523 JP Equity,4519 JP Equity,7182 JP Equity,9437 JP Equity
2016-03-31,6861 JP Equity,6301 JP Equity,005490 KS Equity,6954 JP Equity,051910 KS Equity,6758 JP Equity,6367 JP Equity,27 HK Equity,8058 JP Equity,1113 HK Equity
2016-06-30,000660 KS Equity,6758 JP Equity,8035 JP Equity,4503 JP Equity,4911 JP Equity,9437 JP Equity,4543 JP Equity,4578 JP Equity,005930 KS Equity,1925 JP Equity
2016-09-30,005930 KS Equity,9984 JP Equity,7974 JP Equity,6273 JP Equity,000660 KS Equity,27 HK Equity,6098 JP Equity,6301 JP Equity,1109 HK Equity,6503 JP Equity
2016-12-30,005490 KS Equity,8306 JP Equity,9984 JP Equity,9983 JP Equity,8316 JP Equity,4063 JP Equity,6301 JP Equity,8766 JP Equity,000660 KS Equity,8801 JP Equity
2017-03-31,005380 KS Equity,7974 JP Equity,005490 KS Equity,JS SP Equity,051910 KS Equity,6273 JP Equity,27 HK Equity,6098 JP Equity,5108 JP Equity,6752 JP Equity
2017-06-30,207940 KS Equity,7974 JP Equity,7269 JP Equity,000660 KS Equity,068270 KS Equity,6273 JP Equity,4911 JP Equity,27 HK Equity,2317 TT Equity,6501 JP Equity
2017-09-29,4911 JP Equity,068270 KS Equity,207940 KS Equity,000660 KS Equity,051910 KS Equity,7974 JP Equity,7269 JP Equity,6098 JP Equity,005930 KS Equity,8035 JP Equity
2017-12-29,6301 JP Equity,27 HK Equity,1299 HK Equity,4911 JP Equity,9983 JP Equity,8766 JP Equity,068270 KS Equity,4578 JP Equity,4543 JP Equity,8058 JP Equity
2018-03-30,8035 JP Equity,4911 JP Equity,4523 JP Equity,000660 KS Equity,207940 KS Equity,4543 JP Equity,27 HK Equity,4578 JP Equity,4452 JP Equity,2503 JP Equity
2018-06-29,4911 JP Equity,4568 JP Equity,068270 KS Equity,4523 JP Equity,6098 JP Equity,6981 JP Equity,1972 HK Equity,6758 JP Equity,7741 JP Equity,4452 JP Equity
2018-09-28,4911 JP Equity,207940 KS Equity,9984 JP Equity,6861 JP Equity,6098 JP Equity,9983 JP Equity,4543 JP Equity,4523 JP Equity,6367 JP Equity,6505 TT Equity
2018-12-31,27 HK Equity,005380 KS Equity,7269 JP Equity,1925 JP Equity,4452 JP Equity,1109 HK Equity,4661 JP Equity,JS SP Equity,9022 JP Equity,JM SP Equity
