dt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2008-09-30,6861 JP Equity,1306 JP Equity,9022 JP Equity,1321 JP Equity,4502 JP Equity,JM SP Equity,005930 KS Equity,9432 JP Equity,9437 JP Equity,2330 TT Equity
2008-12-31,9022 JP Equity,4502 JP Equity,9437 JP Equity,1306 JP Equity,9432 JP Equity,005930 KS Equity,9433 JP Equity,JM SP Equity,1321 JP Equity,2914 JP Equity
2009-03-31,1306 JP Equity,9437 JP Equity,2914 JP Equity,7203 JP Equity,1321 JP Equity,2330 TT Equity,JM SP Equity,005930 KS Equity,9433 JP Equity,9432 JP Equity
2009-06-30,9983 JP Equity,9022 JP Equity,7267 JP Equity,9433 JP Equity,9432 JP Equity,7203 JP Equity,941 HK Equity,6861 JP Equity,4502 JP Equity,005930 KS Equity
2009-09-30,2914 JP Equity,8058 JP Equity,005930 KS Equity,9983 JP Equity,6758 JP Equity,8306 JP Equity,7203 JP Equity,9984 JP Equity,9433 JP Equity,7267 JP Equity
2009-12-31,6758 JP Equity,7203 JP Equity,7267 JP Equity,267 HK Equity,8058 JP Equity,16 HK Equity,9983 JP Equity,9984 JP Equity,005930 KS Equity,6861 JP Equity
2010-03-31,2914 JP Equity,6758 JP Equity,9983 JP Equity,7203 JP Equity,JM SP Equity,000660 KS Equity,9984 JP Equity,7974 JP Equity,8058 JP Equity,16 HK Equity
2010-06-30,7267 JP Equity,JM SP Equity,6861 JP Equity,9984 JP Equity,1321 JP Equity,16 HK Equity,8316 JP Equity,005930 KS Equity,8306 JP Equity,2914 JP Equity
2010-09-30,6758 JP Equity,6861 JP Equity,9983 JP Equity,7203 JP Equity,7267 JP Equity,7974 JP Equity,8058 JP Equity,9984 JP Equity,2914 JP Equity,16 HK Equity
2010-12-31,267 HK Equity,005930 KS Equity,000660 KS Equity,9983 JP Equity,JM SP Equity,2914 JP Equity,8316 JP Equity,7267 JP Equity,16 HK Equity,8306 JP Equity
2011-03-31,005930 KS Equity,7267 JP Equity,1321 JP Equity,267 HK Equity,16 HK Equity,1299 HK Equity,4502 JP Equity,JM SP Equity,1306 JP Equity,8316 JP Equity
2011-06-30,9984 JP Equity,JM SP Equity,7974 JP Equity,267 HK Equity,2914 JP Equity,9433 JP Equity,6758 JP Equity,005930 KS Equity,1299 HK Equity,8316 JP Equity
2011-09-30,16 HK Equity,8306 JP Equity,941 HK Equity,6861 JP Equity,7203 JP Equity,2330 TT Equity,8058 JP Equity,2914 JP Equity,8316 JP Equity,9983 JP Equity
2011-12-30,16 HK Equity,7267 JP Equity,9984 JP Equity,267 HK Equity,9983 JP Equity,8058 JP Equity,2914 JP Equity,JM SP Equity,7974 JP Equity,9022 JP Equity
2012-03-30,JM SP Equity,2914 JP Equity,1299 HK Equity,8306 JP Equity,005930 KS Equity,7974 JP Equity,7267 JP Equity,7203 JP Equity,9984 JP Equity,000660 KS Equity
2012-06-29,2914 JP Equity,8058 JP Equity,7974 JP Equity,9984 JP Equity,7267 JP Equity,8306 JP Equity,267 HK Equity,2330 TT Equity,7203 JP Equity,8316 JP Equity
