dt,V1,V2,V3,V4,V5,V6,V7,V8
2008-09-30,GOOGL,TEL,ORCL,CSCO,INTC,VOD,V,ASML
2008-12-31,DTE,VZ,ACN,ORCL,AAPL,CSCO,MSFT,VOD
2009-03-31,VOD,MA,V,ORCL,ACN,INTC,CSCO,MSFT
2009-06-30,TEL,AMS,ORA,VOD,ASML,AAPL,V,SAP
2009-09-30,AMS,ORA,TEL,ASML,MA,ACN,CSCO,AAPL
2009-12-31,AMS,ORA,ASML,VIV,ORCL,AAPL,INTC,TEL
2010-03-31,AMS,MA,ORA,ASML,SAP,TEL,AAPL,INTC
2010-06-30,TEL,V,ASML,MA,ST,ORA,AAPL,VIV
2010-09-30,AMS,ASML,NXPI,CSCO,ST,ORCL,MA,TEL
2010-12-31,NXPI,CSCO,V,MA,ASML,ST,ACN,TEL
2011-03-31,NXPI,CSCO,ORA,AMS,ASML,ORCL,VIV,TEL
2011-06-30,NXPI,V,ORA,MA,ASML,ORCL,SAP,VIV
2011-09-30,ASML,CSCO,ACN,ORCL,VIV,SAP,TEL,MA
2011-12-30,ORCL,ORA,NXPI,AMS,ASML,ST,SAP,TEL
2012-03-30,NXPI,ST,AMS,VIV,ORA,MA,ASML,AAPL
2012-06-29,NXPI,FB,CSCO,ORA,ASML,ACN,SAP,TEL
2012-09-28,NXPI,FB,ORA,CSCO,ASML,AMS,ACN,ST
2012-12-31,FB,NXPI,AAPL,AMS,ORA,ASML,INTC,VIV
2013-03-28,AMS,FB,ORCL,AAPL,NXPI,ORA,ASML,VOD
2013-06-28,AMS,NXPI,CSCO,FB,ACN,ORCL,ORA,VIV
2013-09-30,FB,AMS,AAPL,MSFT,NXPI,VIV,VOD,CSCO
2013-12-31,AMS,FB,CSCO,VIV,NXPI,ORCL,AAPL,ORA
2014-03-31,FB,NXPI,AMS,ORA,VOD,VIV,MA,ST
2014-06-30,AMS,FB,ORA,NXPI,VOD,VIV,GOOGL,INTC
2014-09-30,VIV,AMS,NXPI,AAPL,FB,ST,ASML,TEL
2014-12-31,AMS,ORA,ORCL,VIV,NXPI,VOD,FB,AAPL
2015-03-31,NXPI,ORA,VIV,AMS,ASML,INTC,CSCO,DTE
2015-06-30,AMS,VIV,NXPI,FB,ASML,ORA,ORCL,VOD
2015-09-30,NXPI,VIV,AMS,AAPL,FB,GOOGL,ASML,MSFT
2015-12-31,AMS,NXPI,VIV,TEAM,ORA,FB,ST,ORCL
2016-03-31,NXPI,ST,VIV,AMS,CSCO,FB,V,ASML
2016-06-30,AMS,TEAM,NXPI,ST,VOD,VIV,SAP,ASML
2016-09-30,NXPI,TEAM,VIV,AMS,ORA,DTE,AAPL,ASML
2016-12-30,AMS,VIV,FB,TEAM,ST,ACN,V,ASML
2017-03-31,AMS,ORA,VIV,ST,ASML,ORCL,ACN,TEAM
2017-06-30,AMS,VIV,TEAM,ASML,ORCL,ST,CSCO,AAPL
2017-09-29,TEAM,AMS,ORA,CMCSA,ORCL,ASML,FB,CSCO
2017-12-29,TEAM,AMS,CMCSA,ASML,ST,DIS,INTC,VZ
2018-03-29,NFLX,TEAM,FB,INTC,MSFT,GOOGL,ORCL,ASML
2018-06-29,NXPI,SPOT,TEAM,AMS,NFLX,ORA,CMCSA,ORCL
2018-09-28,NFLX,AMS,ORA,ASML,SPOT,VIV,TEAM,NXPI
