dt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2008-09-30,GOOGL,TEL,ORCL,CSCO,INTC,VOD,V,ASML,BCE,AMS
2008-12-31,DTE,VZ,ACN,ORCL,AAPL,CSCO,MSFT,VOD,SAP,INTC
2009-03-31,VOD,MA,V,ORCL,ACN,INTC,CSCO,MSFT,GOOGL,SAP
2009-06-30,TEL,AMS,ORA,VOD,ASML,AAPL,V,SAP,ACN,MA
2009-09-30,AMS,ORA,TEL,ASML,MA,ACN,CSCO,AAPL,INTC,BCE
2009-12-31,AMS,ORA,ASML,VIV,ORCL,AAPL,INTC,TEL,VOD,BCE
2010-03-31,AMS,MA,ORA,ASML,SAP,TEL,AAPL,INTC,VIV,GOOGL
2010-06-30,TEL,V,ASML,MA,ST,ORA,AAPL,VIV,INTC,AMS
2010-09-30,AMS,ASML,NXPI,CSCO,ST,ORCL,MA,TEL,V,CMCSA
2010-12-31,NXPI,CSCO,V,MA,ASML,ST,ACN,TEL,ORCL,AMS
2011-03-31,NXPI,CSCO,ORA,AMS,ASML,ORCL,VIV,TEL,VOD,ACN
2011-06-30,NXPI,V,ORA,MA,ASML,ORCL,SAP,VIV,AMS,TEL
2011-09-30,ASML,CSCO,ACN,ORCL,VIV,SAP,TEL,MA,ST,V
2011-12-30,ORCL,ORA,NXPI,AMS,ASML,ST,SAP,TEL,MA,INTC
2012-03-30,NXPI,ST,AMS,VIV,ORA,MA,ASML,AAPL,V,TEL
2012-06-29,NXPI,FB,CSCO,ORA,ASML,ACN,SAP,TEL,ST,ORCL
2012-09-28,NXPI,FB,ORA,CSCO,ASML,AMS,ACN,ST,TEL,INTC
2012-12-31,FB,NXPI,AAPL,AMS,ORA,ASML,INTC,VIV,ST,MSFT
2013-03-28,AMS,FB,ORCL,AAPL,NXPI,ORA,ASML,VOD,SAP,CMCSA
2013-06-28,AMS,NXPI,CSCO,FB,ACN,ORCL,ORA,VIV,ASML,SAP
2013-09-30,FB,AMS,AAPL,MSFT,NXPI,VIV,VOD,CSCO,V,ST
2013-12-31,AMS,FB,CSCO,VIV,NXPI,ORCL,AAPL,ORA,INTC,MSFT
2014-03-31,FB,NXPI,AMS,ORA,VOD,VIV,MA,ST,GOOGL,MSFT
2014-06-30,AMS,FB,ORA,NXPI,VOD,VIV,GOOGL,INTC,CSCO,ORCL
2014-09-30,VIV,AMS,NXPI,AAPL,FB,ST,ASML,TEL,ORCL,SAP
2014-12-31,AMS,ORA,ORCL,VIV,NXPI,VOD,FB,AAPL,INTC,MA
2015-03-31,NXPI,ORA,VIV,AMS,ASML,INTC,CSCO,DTE,ACN,ST
2015-06-30,AMS,VIV,NXPI,FB,ASML,ORA,ORCL,VOD,INTC,V
2015-09-30,NXPI,VIV,AMS,AAPL,FB,GOOGL,ASML,MSFT,TEL,V
2015-12-31,AMS,NXPI,VIV,TEAM,ORA,FB,ST,ORCL,AAPL,DIS
2016-03-31,NXPI,ST,VIV,AMS,CSCO,FB,V,ASML,ACN,TEAM
2016-06-30,AMS,TEAM,NXPI,ST,VOD,VIV,SAP,ASML,TEL,V
2016-09-30,NXPI,TEAM,VIV,AMS,ORA,DTE,AAPL,ASML,ST,ACN
2016-12-30,AMS,VIV,FB,TEAM,ST,ACN,V,ASML,DTE,MA
2017-03-31,AMS,ORA,VIV,ST,ASML,ORCL,ACN,TEAM,TEL,V
2017-06-30,AMS,VIV,TEAM,ASML,ORCL,ST,CSCO,AAPL,FB,GOOGL
2017-09-29,TEAM,AMS,ORA,CMCSA,ORCL,ASML,FB,CSCO,DIS,AAPL
2017-12-29,TEAM,AMS,CMCSA,ASML,ST,DIS,INTC,VZ,VIV,MA
2018-03-29,NFLX,TEAM,FB,INTC,MSFT,GOOGL,ORCL,ASML,CSCO,ACN
2018-06-29,NXPI,SPOT,TEAM,AMS,NFLX,ORA,CMCSA,ORCL,ASML,VIV
2018-09-28,NFLX,AMS,ORA,ASML,SPOT,VIV,TEAM,NXPI,FB,CMCSA
