ticker,name,mcap,ivol,div,country,gics_code
TESTA LN Equity,TEST A UK,1.06511E+12,,,GB,
MSFT US Equity,MICROSOFT CORP,8.32481E+11,24.96080017,1.703680992,US,45
AMZN US Equity,AMAZON.COM INC,8.29389E+11,31.30319977,0,US,25
GOOGL US Equity,ALPHABET INC-CL A,7.66717E+11,24.95759964,0,US,50
AAPL US Equity,APPLE INC,7.41728E+11,26.3355999,1.204926014,US,45
BRK/A US Equity,BERKSHIRE HATHAWAY INC-CL A,5.03375E+11,,0,US,40
FB US Equity,FACEBOOK INC-CLASS A,4.31816E+11,30.48189926,0,US,50
JNJ US Equity,JOHNSON & JOHNSON,3.50508E+11,19.46439934,2.376180887,US,35
JPM US Equity,JPMORGAN CHASE & CO,3.47805E+11,21.29800034,2.786314011,US,40
XOM US Equity,EXXON MOBIL CORP,3.09026E+11,19.57049942,3.658536911,US,10
V US Equity,VISA INC-CLASS A SHARES,3.05282E+11,22.53630066,0.666266978,US,45
WMT US Equity,WALMART INC,2.83931E+11,19.15880013,1.913696051,US,30
BAC US Equity,BANK OF AMERICA CORP,2.8331E+11,25.54409981,2.191557884,US,40
NESN SW Equity,NESTLE SA-REG,2.58447E+11,14.53789997,2.804296017,CH,30
UNH US Equity,UNITEDHEALTH GROUP INC,2.5542E+11,22.78019905,1.445086956,US,35
RDSA LN Equity,ROYAL DUTCH SHELL PLC-A SHS,2.53247E+11,18.39990044,5.605328083,NL,10
SPY US Equity,SPDR S&P 500 ETF TRUST,2.48816E+11,16.62709999,,US,
PFE US Equity,PFIZER INC,2.45844E+11,19.08139992,3.533958912,US,35
VZ US Equity,VERIZON COMMUNICATIONS INC,2.35897E+11,18.71310043,4.411487103,US,50
WFC US Equity,WELLS FARGO & CO,2.29111E+11,23.71680069,3.55902791,US,40
PG US Equity,PROCTER & GAMBLE CO/THE,2.27765E+11,18.12770081,3.574173927,US,30
005930 KS Equity,SAMSUNG ELECTRONICS CO LTD,2.25776E+11,22.16480064,1.667974949,KR,45
NOVN SW Equity,NOVARTIS AG-REG,2.25745E+11,17.11680031,3.308348894,CH,35
T US Equity,AT&T INC,2.25327E+11,20.01339912,5.06687212,US,50
INTC US Equity,INTEL CORP,2.24503E+11,27.51790047,2.334271908,US,45
ROG SW Equity,ROCHE HOLDING AG-GENUSSCHEIN,2.22554E+11,17.21809959,3.367140055,CH,35
CVX US Equity,CHEVRON CORP,2.18535E+11,20.8593998,3.450754881,US,10
941 HK Equity,CHINA MOBILE LTD,2.11242E+11,19.97389984,4.137525082,HK,50
MA US Equity,MASTERCARD INC - A,2.08624E+11,25.11059952,0.58139497,US,45
BA US Equity,BOEING CO/THE,2.07125E+11,25.95899963,1.926010966,US,20
7203 JP Equity,TOYOTA MOTOR CORP,2.03419E+11,,3.223443031,JP,25
HD US Equity,HOME DEPOT INC,2.02841E+11,22.05879974,1.717898011,US,25
KO US Equity,COCA-COLA CO/THE,2.02653E+11,15.68369961,3.225805998,US,30
CSCO US Equity,CISCO SYSTEMS INC,2.02453E+11,24.49279976,2.912848949,US,45
MRK US Equity,MERCK & CO. INC.,1.97291E+11,19.24060059,3.358805895,US,35
2330 TT Equity,TAIWAN SEMICONDUCTOR MANUFAC,1.85367E+11,25.44989967,3.48583889,TW,45
ORCL US Equity,ORACLE CORP,1.76826E+11,23.40399933,1.626711965,US,45
HSBA LN Equity,HSBC HOLDINGS PLC,1.68428E+11,20.00429916,4.917293072,GB,40
DIS US Equity,WALT DISNEY CO/THE,1.65525E+11,20.91799927,1.436633945,US,50
CMCSA US Equity,COMCAST CORP-CLASS A,1.64738E+11,24.50849915,1.573034048,US,50
IVV US Equity,ISHARES CORE S&P 500 ETF,1.59716E+11,16.05340004,,US,
PEP US Equity,PEPSICO INC,1.55371E+11,17.65069962,2.64134407,US,30
C US Equity,CITIGROUP INC,1.54148E+11,25.05929947,2.958125114,US,40
ULVR LN Equity,UNILEVER PLC,1.52792E+11,17.99640083,3.089898109,GB,30
UNA NA Equity,UNILEVER NV-CVA,1.52221E+11,16.08200073,3.05398798,GB,30
NFLX US Equity,NETFLIX INC,1.47876E+11,43.88970184,0,US,50
ABI BB Equity,ANHEUSER-BUSCH INBEV SA/NV,1.47767E+11,22.86930084,3.626266003,BE,30
MC FP Equity,LVMH MOET HENNESSY LOUIS VUI,1.4758E+11,25.60009956,2.037489891,FR,25
FP FP Equity,TOTAL SA,1.42069E+11,19.05310059,4.480148792,FR,10
MCD US Equity,MCDONALD'S CORP,1.40745E+11,18.26530075,2.22519207,US,25
BP/ LN Equity,BP PLC,1.36807E+11,21.3621006,5.658513069,GB,10
ABBV US Equity,ABBVIE INC,1.34627E+11,27.05990028,2.719470978,US,35
DWDP US Equity,DOWDUPONT INC,1.33204E+11,25.04610062,2.471215963,US,15
AMGN US Equity,AMGEN INC,1.29916E+11,22.82110023,2.645198107,US,35
SAP GR Equity,SAP SE,1.28231E+11,21.78860092,1.498126984,DE,45
NKE US Equity,NIKE INC -CL B,1.26612E+11,26.22909927,1.086351037,US,25
OR FP Equity,L'OREAL,1.26568E+11,18.37420082,1.919438004,FR,30
ABT US Equity,ABBOTT LABORATORIES,1.25437E+11,22.7446003,1.883651972,US,35
LLY US Equity,ELI LILLY & CO,1.23506E+11,22.86540031,2.510063887,US,35
ADBE US Equity,ADOBE INC,1.20818E+11,30.95050049,0,US,45
MDT US Equity,MEDTRONIC PLC,1.17248E+11,20.75639915,2.263500929,IE,35
CRM US Equity,SALESFORCE.COM INC,1.1667E+11,31.68860054,0,US,45
NOVOB DC Equity,NOVO NORDISK A/S-B,1.16666E+11,23.42110062,2.346786022,DK,35
UNP US Equity,UNION PACIFIC CORP,1.16663E+11,24.55780029,1.84936595,US,20
PM US Equity,PHILIP MORRIS INTERNATIONAL,1.14708E+11,21.8057003,3.994321108,US,30
BHP LN Equity,BHP GROUP PLC,1.14213E+11,28.71680069,2.798885107,AU,15
MMM US Equity,3M CO,1.14047E+11,20.78000069,1.996855974,US,20
BHP AU Equity,BHP GROUP LTD,1.13409E+11,20.90089989,4.706247807,AU,15
IBM US Equity,INTL BUSINESS MACHINES CORP,1.12527E+11,22.45070076,3.845652103,US,45
RY CN Equity,ROYAL BANK OF CANADA,1.07538E+11,15.17749977,3.930358887,CA,40
PYPL US Equity,PAYPAL HOLDINGS INC,1.07339E+11,30.08289909,0,US,45
AVGO US Equity,BROADCOM INC,1.06224E+11,30.68320084,3.170721054,US,45
1299 HK Equity,AIA GROUP LTD,1.05588E+11,25.16500092,1.573927999,HK,40
