dt,005930 KS Equity,941 HK Equity,7203 JP Equity,2330 TT Equity,1299 HK Equity,9437 JP Equity,9432 JP Equity,9984 JP Equity,1306 JP Equity,8306 JP Equity,4502 JP Equity,6758 JP Equity,9434 JP Equity,9433 JP Equity,6861 JP Equity,6178 JP Equity,7267 JP Equity,7182 JP Equity,1321 JP Equity,8316 JP Equity,2914 JP Equity,9983 JP Equity,JM SP Equity,8058 JP Equity,16 HK Equity,6098 JP Equity,267 HK Equity,7974 JP Equity,9022 JP Equity,000660 KS Equity,11 HK Equity,8411 JP Equity,JS SP Equity,2388 HK Equity,1 HK Equity,388 HK Equity,688 HK Equity,3382 JP Equity,7751 JP Equity,4661 JP Equity,6902 JP Equity,1305 JP Equity,7201 JP Equity,8766 JP Equity,9020 JP Equity,6954 JP Equity,6594 JP Equity,6505 TT Equity,4452 JP Equity,762 HK Equity,4519 JP Equity,1308 JP Equity,4063 JP Equity,66 HK Equity,3 HK Equity,2317 TT Equity,6367 JP Equity,6501 JP Equity,1113 HK Equity,5108 JP Equity,6981 JP Equity,2 HK Equity,8001 JP Equity,8031 JP Equity,4503 JP Equity,27 HK Equity,1109 HK Equity,2412 TT Equity,7269 JP Equity,6503 JP Equity,1330 JP Equity,4568 JP Equity,6301 JP Equity,6752 JP Equity,12 HK Equity,8802 JP Equity,8801 JP Equity,005380 KS Equity,4523 JP Equity,1320 JP Equity,207940 KS Equity,4911 JP Equity,051910 KS Equity,4578 JP Equity,068270 KS Equity,1925 JP Equity,6273 JP Equity,7741 JP Equity,8035 JP Equity,4543 JP Equity,4901 JP Equity,1972 HK Equity,823 HK Equity,1301 TT Equity,2503 JP Equity,8591 JP Equity,1038 HK Equity,005490 KS Equity,6971 JP Equity,1326 TT Equity
31/12/99,5320,48.6,4950,62.64,#N/AN/A,7860,8750,10866.7,#N/AN/A,#N/AN/A,5050,15150,#N/AN/A,2333.3,12884.1,#N/AN/A,1900,#N/AN/A,#N/AN/A,#N/AN/A,782,10400,3.94,789,81,#N/AN/A,29.25,16980,6410,506100,88.75,#N/AN/A,1.99,#N/AN/A,56.88,#N/AN/A,1.05,#N/AN/A,2706.7,2195,2440,#N/AN/A,402,#N/AN/A,5510,13010,3687.5,#N/AN/A,2915,#N/AN/A,995.3,#N/AN/A,4400,#N/AN/A,2.8,26.9,1390,8200,#N/AN/A,2250,24000,29.83,509,715,714,0.65,0.89,#N/AN/A,1491,660,#N/AN/A,#N/AN/A,470,2830,28.17,997,692,18000,1965,#N/AN/A,#N/AN/A,1490,#N/AN/A,#N/AN/A,#N/AN/A,760,22610,2012.5,14000,1365,3730,#N/AN/A,#N/AN/A,34.7,1075,1918.3,15,125000,13250,23.06
3/1/2000,5320,53.5,4950,62.64,#N/AN/A,7860,8750,10866.7,#N/AN/A,#N/AN/A,5050,15150,#N/AN/A,2333.3,12884.1,#N/AN/A,1900,#N/AN/A,#N/AN/A,#N/AN/A,782,10400,3.82,789,83.75,#N/AN/A,30.5,16980,6410,506100,87.25,#N/AN/A,2.03,#N/AN/A,58.47,#N/AN/A,1.28,#N/AN/A,2706.7,2195,2440,#N/AN/A,402,#N/AN/A,5510,13010,3687.5,#N/AN/A,2915,#N/AN/A,995.3,#N/AN/A,4400,#N/AN/A,2.78,26.9,1390,8200,#N/AN/A,2250,24000,29.58,509,715,714,0.65,0.89,#N/AN/A,1491,660,#N/AN/A,#N/AN/A,470,2830,27.94,997,692,18000,1965,#N/AN/A,#N/AN/A,1490,#N/AN/A,#N/AN/A,#N/AN/A,760,22610,2012.5,14000,1365,3730,#N/AN/A,#N/AN/A,34.7,1075,1918.3,14.95,125000,13250,23.06
4/1/2000,6110,52.25,4940,66.76,#N/AN/A,7900,8950,11444.4,#N/AN/A,#N/AN/A,4650,15350,#N/AN/A,2400,11983.8,#N/AN/A,1915,#N/AN/A,#N/AN/A,#N/AN/A,752,10525,3.9,812,84,#N/AN/A,29.75,16000,6390,540750,86.75,#N/AN/A,2.02,#N/AN/A,56.59,#N/AN/A,1.63,#N/AN/A,2733.3,2230,2310,#N/AN/A,400,#N/AN/A,5510,11900,3662.5,#N/AN/A,2865,#N/AN/A,990.8,#N/AN/A,4490,#N/AN/A,2.75,28.51,1417,8450,#N/AN/A,2220,22100,29.5,503,733,682,0.63,0.92,#N/AN/A,1494,691,#N/AN/A,#N/AN/A,487,2905,28,1015,730,20700,1880,#N/AN/A,#N/AN/A,1488,#N/AN/A,#N/AN/A,#N/AN/A,746,22290,2022.5,13010,1405,3520,#N/AN/A,#N/AN/A,36.09,1044,1858.3,15.15,142000,12250,24.28
5/1/2000,5580,45.1,4890,68.26,#N/AN/A,7140,8600,9622.2,#N/AN/A,#N/AN/A,4620,13850,#N/AN/A,2366.7,11052.4,#N/AN/A,1885,#N/AN/A,#N/AN/A,#N/AN/A,753,10037.5,4,798,78.25,#N/AN/A,35.3,15650,6350,485100,81.5,#N/AN/A,1.98,#N/AN/A,52.56,#N/AN/A,1.34,#N/AN/A,2580,2287.5,2380,#N/AN/A,420,#N/AN/A,5590,10640,3412.5,#N/AN/A,2770,#N/AN/A,1008.9,#N/AN/A,4500,#N/AN/A,2.67,28.51,1366,7875,#N/AN/A,2220,20100,29.25,490,770,724,0.61,0.85,#N/AN/A,1520,680,#N/AN/A,#N/AN/A,483,2770,25.91,956,715,20800,1800,#N/AN/A,#N/AN/A,1498,#N/AN/A,#N/AN/A,#N/AN/A,774,20530,1855,11950,1375,3700,#N/AN/A,#N/AN/A,35.54,1032,1691.7,14.85,149500,11250,24.4
6/1/2000,5620,41.9,4390,66.76,#N/AN/A,6800,8350,9066.7,#N/AN/A,#N/AN/A,5120,12850,#N/AN/A,2333.3,10648.8,#N/AN/A,1810,#N/AN/A,#N/AN/A,#N/AN/A,771,9875,4.08,784,74.5,#N/AN/A,33.8,16000,6330,459900,76.75,#N/AN/A,1.93,#N/AN/A,49.97,#N/AN/A,1.14,#N/AN/A,2366.7,2262.5,2240,#N/AN/A,453,#N/AN/A,5500,10500,3236.3,#N/AN/A,2855,#N/AN/A,1164.7,#N/AN/A,4480,#N/AN/A,2.66,28.51,1311,7480,#N/AN/A,2245,18100,28.83,455,742,824,0.58,0.81,#N/AN/A,1555,666,#N/AN/A,#N/AN/A,455,2640,24.67,958,709,19700,2095,#N/AN/A,#N/AN/A,1519,#N/AN/A,#N/AN/A,#N/AN/A,770,19100,1797.5,11020,1420,3900,#N/AN/A,#N/AN/A,36.37,1050,1525,14.4,144500,10250,24.81
7/1/2000,5540,41.7,4430,64.89,#N/AN/A,6320,8250,8511.1,#N/AN/A,#N/AN/A,5700,11850,#N/AN/A,2200,10493.6,#N/AN/A,1845,#N/AN/A,#N/AN/A,#N/AN/A,779,9762.5,4.22,789,74.75,#N/AN/A,33.2,15940,6400,455700,81.75,#N/AN/A,1.99,#N/AN/A,50.83,#N/AN/A,1.31,#N/AN/A,2513.3,2287.5,2290,#N/AN/A,480,#N/AN/A,5510,10050,3216.3,#N/AN/A,2990,#N/AN/A,1191.7,#N/AN/A,4400,#N/AN/A,2.77,27.36,1310,7320,#N/AN/A,2610,18290,29.08,440,749,902,0.62,0.86,#N/AN/A,1691,691,#N/AN/A,#N/AN/A,488,2700,24.78,985,711,20300,2125,#N/AN/A,#N/AN/A,1616,#N/AN/A,#N/AN/A,#N/AN/A,751,19000,1762.5,10920,1412.5,4120,#N/AN/A,#N/AN/A,36.65,1065,1438.3,14.6,145000,9250,24.63
10/1/2000,5770,47,4430,67.14,#N/AN/A,6320,8250,8511.1,#N/AN/A,#N/AN/A,5700,11850,#N/AN/A,2200,10493.6,#N/AN/A,1845,#N/AN/A,#N/AN/A,#N/AN/A,779,9762.5,4.2,789,75.5,#N/AN/A,32.9,15940,6400,451500,80.75,#N/AN/A,1.98,#N/AN/A,51.55,#N/AN/A,1.39,#N/AN/A,2513.3,2287.5,2290,#N/AN/A,480,#N/AN/A,5510,10050,3216.3,#N/AN/A,2990,#N/AN/A,1191.7,#N/AN/A,4400,#N/AN/A,2.82,27.94,1310,7320,#N/AN/A,2610,18290,29.42,440,749,902,0.59,0.88,#N/AN/A,1691,691,#N/AN/A,#N/AN/A,488,2700,25.29,985,711,20000,2125,#N/AN/A,#N/AN/A,1616,#N/AN/A,#N/AN/A,#N/AN/A,751,19000,1762.5,10920,1412.5,4120,#N/AN/A,#N/AN/A,38.59,1065,1438.3,14.7,143000,9250,25.33
11/1/2000,5770,48.4,4620,66.01,#N/AN/A,7280,8500,9066.7,#N/AN/A,#N/AN/A,5850,12850,#N/AN/A,2266.7,11425,#N/AN/A,1920,#N/AN/A,#N/AN/A,#N/AN/A,799,10075,4.1,779,72.25,#N/AN/A,34,16300,6460,468300,79.25,#N/AN/A,2,#N/AN/A,52.71,#N/AN/A,1.29,#N/AN/A,2640,2382.5,2250,#N/AN/A,490,#N/AN/A,5410,11670,3390,#N/AN/A,2975,#N/AN/A,1163.8,#N/AN/A,4830,#N/AN/A,2.74,27.71,1311,8125,#N/AN/A,2455,20290,29.25,481,766,914,0.6,0.87,#N/AN/A,1589,715,#N/AN/A,#N/AN/A,505,2800,25.35,972,708,20000,2070,#N/AN/A,#N/AN/A,1630,#N/AN/A,#N/AN/A,#N/AN/A,752,19530,1812.5,12920,1380,4090,#N/AN/A,#N/AN/A,36.93,1077,1605,14.6,148000,10250,23.82
12/1/2000,5720,47,4500,67.89,#N/AN/A,7000,8450,9622.2,#N/AN/A,#N/AN/A,5730,12700,#N/AN/A,2183.3,10804,#N/AN/A,2015,#N/AN/A,#N/AN/A,#N/AN/A,809,9575,4,774,73.5,#N/AN/A,34.4,17560,6450,474600,77.25,#N/AN/A,2.05,#N/AN/A,51.84,#N/AN/A,1.25,#N/AN/A,2580,2350,2200,#N/AN/A,500,#N/AN/A,5350,10650,3275,#N/AN/A,3000,#N/AN/A,1175.5,#N/AN/A,4600,#N/AN/A,2.69,29.32,1370,7875,#N/AN/A,2430,20390,29.25,510,760,990,0.61,0.85,#N/AN/A,1565,700,#N/AN/A,#N/AN/A,540,2800,25.06,955,745,19450,2045,#N/AN/A,#N/AN/A,1580,#N/AN/A,#N/AN/A,#N/AN/A,720,18810,1802.5,12400,1367.5,3960,#N/AN/A,#N/AN/A,37.2,1240,1491.7,14.75,147000,9250,24.11
13/01/00,5710,45.4,4550,66.76,#N/AN/A,6860,8400,10177.8,#N/AN/A,#N/AN/A,5910,12125,#N/AN/A,2083.3,9872.6,#N/AN/A,2015,#N/AN/A,#N/AN/A,#N/AN/A,909,9937.5,3.92,777,75.75,#N/AN/A,34,18110,6530,493500,77.75,#N/AN/A,2.06,#N/AN/A,51.12,#N/AN/A,1.28,#N/AN/A,2613.3,2397.5,2230,#N/AN/A,505,#N/AN/A,5230,10680,3375,#N/AN/A,3050,#N/AN/A,1288.1,#N/AN/A,4760,#N/AN/A,2.7,29.32,1375,7850,#N/AN/A,2360,19620,28.75,488,754,1008,0.62,0.81,#N/AN/A,1566,699,#N/AN/A,#N/AN/A,550,2770,24.22,1030,822,19500,2080,#N/AN/A,#N/AN/A,1608,#N/AN/A,#N/AN/A,#N/AN/A,771,19500,1850,11810,1435,3930,#N/AN/A,#N/AN/A,37.2,1365,1458.3,14.75,146500,9125,23.7
