rowno,close,high,low,open,time,volumefrom,volumeto
521,0.00001797,0.00002499,0.00000865,0.00001035,2017-12-27 03:00:00,86242.82000000,1.39000000
522,0.00000688,0.00001978,0.00000583,0.00001797,2017-12-28 03:00:00,152057.27000000,1.58000000
523,0.00000974,0.00001033,0.00000288,0.00000688,2017-12-29 03:00:00,186059.30000000,1.23000000
524,0.00001373,0.00001373,0.00000963,0.00000974,2017-12-30 03:00:00,53504.47000000,0.55840000
525,0.00001188,0.00001378,0.00001149,0.00001373,2017-12-31 03:00:00,94878.22000000,1.16000000
526,0.00000688,0.00001188,0.00000465,0.00001188,2018-01-01 03:00:00,175268.06000000,1.37000000
527,0.00000713,0.00001000,0.00000466,0.00000688,2018-01-02 03:00:00,190022.28000000,1.19000000
528,0.00000617,0.00000984,0.00000500,0.00000713,2018-01-03 03:00:00,279055.24000000,1.66000000
529,0.00000851,0.00000987,0.00000612,0.00000617,2018-01-04 03:00:00,86328.20000000,0.61100000
530,0.00000958,0.00001300,0.00000842,0.00000851,2018-01-05 03:00:00,94068.40000000,0.87380000
531,0.00000951,0.00001300,0.00000948,0.00000976,2018-01-06 03:00:00,114549.66000000,1.21000000
532,0.00003999,0.00003999,0.00000907,0.00000951,2018-01-07 03:00:00,268196.98000000,4.51000000
533,0.00003616,0.00004400,0.00002550,0.00003999,2018-01-08 03:00:00,221034.92000000,7.92000000
534,0.00002770,0.00003690,0.00002155,0.00003616,2018-01-09 03:00:00,221907.64000000,6.75000000
535,0.00003552,0.00003690,0.00002580,0.00002770,2018-01-10 03:00:00,181656.21000000,5.90000000
536,0.00003872,0.00003898,0.00003110,0.00003552,2018-01-11 03:00:00,263648.60000000,9.61000000
537,0.00004014,0.00004575,0.00003450,0.00003872,2018-01-12 03:00:00,205038.59000000,8.63000000
538,0.00004096,0.00004515,0.00003817,0.00004014,2018-01-13 03:00:00,174882.84000000,7.31000000
539,0.00004893,0.00005449,0.00003820,0.00004096,2018-01-14 03:00:00,297322.90000000,13.70000000
540,0.00004103,0.00004893,0.00003562,0.00004893,2018-01-15 03:00:00,222742.60000000,9.95000000
541,0.00004063,0.00004597,0.00003451,0.00004103,2018-01-16 03:00:00,168644.74000000,7.23000000
542,0.00003956,0.00004163,0.00002586,0.00004063,2018-01-17 03:00:00,223535.10000000,7.57000000
543,0.00003802,0.00004169,0.00003650,0.00003956,2018-01-18 03:00:00,207305.29000000,8.28000000
544,0.00003535,0.00003898,0.00002643,0.00003802,2018-01-19 03:00:00,168333.09000000,5.89000000
545,0.00003347,0.00003551,0.00002642,0.00003535,2018-01-20 03:00:00,201182.52000000,6.97000000
546,0.00002911,0.00003433,0.00002642,0.00003347,2018-01-21 03:00:00,201745.54000000,6.25000000
547,0.00003408,0.00003599,0.00002765,0.00002911,2018-01-22 03:00:00,190656.43000000,6.07000000
548,0.00003681,0.00003689,0.00003400,0.00003408,2018-01-23 03:00:00,160471.12000000,5.67000000
549,0.00003077,0.00003689,0.00002642,0.00003681,2018-01-24 03:00:00,206517.08000000,6.89000000
550,0.00003312,0.00003651,0.00003052,0.00003077,2018-01-25 03:00:00,180332.77000000,6.13000000
551,0.00003332,0.00003642,0.00003100,0.00003312,2018-01-26 03:00:00,208184.51000000,6.95000000
552,0.00003502,0.00003642,0.00002700,0.00003332,2018-01-27 03:00:00,242465.07000000,7.59000000
553,0.00003255,0.00003699,0.00003019,0.00003502,2018-01-28 03:00:00,307762.12000000,10.67000000
554,0.00003091,0.00003262,0.00002902,0.00003255,2018-01-29 03:00:00,334491.82000000,10.32000000
555,0.00002613,0.00003097,0.00002500,0.00003091,2018-01-30 03:00:00,345193.99000000,9.88000000
556,0.00002315,0.00003200,0.00002016,0.00002613,2018-01-31 03:00:00,368666.76000000,9.36000000
557,0.00003100,0.00003600,0.00002198,0.00002315,2018-02-01 03:00:00,345756.34000000,10.56000000
558,0.00003201,0.00003346,0.00002340,0.00003100,2018-02-02 03:00:00,307967.35000000,8.65000000
559,0.00001995,0.00003511,0.00001145,0.00003198,2018-02-03 03:00:00,449070.11000000,10.56000000
