rowno,close,high,low,open,time,volumefrom,volumeto
521,0.27700000,0.38530000,0.13340000,0.15960000,2017-12-27 03:00:00,86242.82000000,23889.26000000
522,0.09906000,0.28480000,0.08394000,0.25870000,2017-12-28 03:00:00,152057.27000000,15062.79000000
523,0.14020000,0.14870000,0.04145000,0.09902000,2017-12-29 03:00:00,186059.30000000,26085.51000000
524,0.17210000,0.17210000,0.12070000,0.12210000,2017-12-30 03:00:00,53504.47000000,9208.12000000
525,0.16450000,0.19090000,0.15910000,0.19020000,2017-12-31 03:00:00,94878.22000000,15607.47000000
526,0.09250000,0.15970000,0.06252000,0.15970000,2018-01-01 03:00:00,175268.06000000,16212.30000000
527,0.10520000,0.14750000,0.06875000,0.10150000,2018-01-02 03:00:00,190022.28000000,19990.34000000
528,0.09352000,0.14910000,0.07578000,0.10810000,2018-01-03 03:00:00,279055.24000000,26097.25000000
529,0.12920000,0.14980000,0.09290000,0.09366000,2018-01-04 03:00:00,86328.20000000,11153.60000000
530,0.16240000,0.22040000,0.14280000,0.14430000,2018-01-05 03:00:00,94068.40000000,15276.71000000
531,0.16330000,0.22320000,0.16280000,0.16760000,2018-01-06 03:00:00,114549.66000000,18705.96000000
532,0.64900000,0.64900000,0.14720000,0.15430000,2018-01-07 03:00:00,268196.98000000,174059.84000000
533,0.54150000,0.65900000,0.38190000,0.59890000,2018-01-08 03:00:00,221034.92000000,119690.41000000
534,0.40080000,0.53390000,0.31180000,0.52320000,2018-01-09 03:00:00,221907.64000000,88940.58000000
535,0.52990000,0.55050000,0.38490000,0.41330000,2018-01-10 03:00:00,181656.21000000,96259.63000000
536,0.51530000,0.51870000,0.41390000,0.47270000,2018-01-11 03:00:00,263648.60000000,135858.12000000
537,0.55560000,0.63320000,0.47750000,0.53590000,2018-01-12 03:00:00,205038.59000000,113919.44000000
538,0.58340000,0.64310000,0.54370000,0.57170000,2018-01-13 03:00:00,174882.84000000,102026.65000000
539,0.66730000,0.74320000,0.52100000,0.55860000,2018-01-14 03:00:00,297322.90000000,198403.57000000
540,0.55930000,0.66700000,0.48560000,0.66700000,2018-01-15 03:00:00,222742.60000000,124579.94000000
541,0.45840000,0.51870000,0.38940000,0.46290000,2018-01-16 03:00:00,168644.74000000,77306.75000000
542,0.44160000,0.46470000,0.28870000,0.45350000,2018-01-17 03:00:00,223535.10000000,98713.10000000
543,0.42490000,0.46590000,0.40790000,0.44210000,2018-01-18 03:00:00,207305.29000000,88084.02000000
544,0.40730000,0.44910000,0.30450000,0.43810000,2018-01-19 03:00:00,168333.09000000,68562.07000000
545,0.42790000,0.45400000,0.33780000,0.45190000,2018-01-20 03:00:00,201182.52000000,86086.00000000
546,0.33620000,0.39650000,0.30510000,0.38660000,2018-01-21 03:00:00,201745.54000000,67826.85000000
547,0.36860000,0.38920000,0.29900000,0.31480000,2018-01-22 03:00:00,190656.43000000,70275.96000000
548,0.39970000,0.40060000,0.36920000,0.37000000,2018-01-23 03:00:00,160471.12000000,64140.31000000
549,0.35170000,0.42160000,0.30200000,0.42070000,2018-01-24 03:00:00,206517.08000000,72632.06000000
550,0.37010000,0.40800000,0.34110000,0.34390000,2018-01-25 03:00:00,180332.77000000,66741.16000000
551,0.37000000,0.40440000,0.34420000,0.36780000,2018-01-26 03:00:00,208184.51000000,77028.27000000
552,0.40130000,0.41740000,0.30940000,0.38180000,2018-01-27 03:00:00,242465.07000000,97301.23000000
553,0.38300000,0.43530000,0.35530000,0.41210000,2018-01-28 03:00:00,307762.12000000,117872.89000000
554,0.34720000,0.36650000,0.32600000,0.36570000,2018-01-29 03:00:00,334491.82000000,116135.56000000
555,0.26410000,0.31300000,0.25270000,0.31240000,2018-01-30 03:00:00,345193.99000000,91165.73000000
556,0.23680000,0.32730000,0.20620000,0.26720000,2018-01-31 03:00:00,368666.76000000,87300.29000000
557,0.28260000,0.32810000,0.20030000,0.21100000,2018-02-01 03:00:00,345756.34000000,97710.74000000
558,0.28400000,0.29680000,0.20760000,0.27500000,2018-02-02 03:00:00,307967.35000000,87462.73000000
559,0.18460000,0.32480000,0.10590000,0.29590000,2018-02-03 03:00:00,449070.11000000,82898.34000000
560,0.16130000,0.26710000,0.14570000,0.16400000,2018-02-04 03:00:00,415183.73000000,66969.14000000
561,0.16050000,0.20120000,0.13530000,0.13620000,2018-02-05 03:00:00,371346.71000000,59601.15000000
562,0.17570000,0.22340000,0.15630000,0.17810000,2018-02-06 03:00:00,331601.23000000,58262.34000000
563,0.22410000,0.25060000,0.17270000,0.17320000,2018-02-07 03:00:00,346128.57000000,77567.41000000
564,0.20000000,0.26420000,0.16530000,0.24380000,2018-02-08 03:00:00,947046.20000000,189409.24000000
