dt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2008-09-30,0.4,0.02,0.02,0.02,0.06,0.4,0.02,0.02,0.02,0.02
2008-12-31,0.4,0.02,0.02,0.06,0.02,0.02,0.4,0.02,0.02,0.02
2009-03-31,0.02,0.02,0.02,0.02,0.02,0.02,0.4,0.4,0.06,0.02
2009-06-30,0.02,0.02,0.02,0.4,0.02,0.02,0.02,0.06,0.02,0.4
2009-09-30,0.02,0.02,0.4,0.4,0.02,0.02,0.06,0.02,0.02,0.02
2009-12-31,0.02,0.02,0.4,0.02,0.02,0.4,0.02,0.06,0.02,0.02
2010-03-31,0.02,0.4,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.06
2010-06-30,0.02,0.02,0.02,0.02,0.06,0.4,0.02,0.02,0.02,0.4
2010-09-30,0.02,0.02,0.4,0.02,0.02,0.02,0.02,0.06,0.4,0.02
2010-12-31,0.06,0.4,0.02,0.02,0.4,0.02,0.02,0.02,0.02,0.02
2011-03-31,0.02,0.4,0.02,0.4,0.02,0.06,0.02,0.02,0.02,0.02
2011-06-30,0.02,0.02,0.02,0.02,0.02,0.4,0.02,0.4,0.02,0.06
2011-09-30,0.02,0.02,0.4,0.02,0.4,0.02,0.02,0.02,0.02,0.06
2011-12-30,0.02,0.4,0.02,0.4,0.02,0.02,0.02,0.02,0.02,0.06
2012-03-30,0.4,0.02,0.02,0.02,0.4,0.02,0.02,0.06,0.02,0.02
2012-06-29,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.4,0.06
2012-09-28,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.4,0.06,0.4
2012-12-31,0.02,0.06,0.02,0.4,0.02,0.4,0.02,0.02,0.02,0.02
2013-03-29,0.4,0.06,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2013-06-28,0.4,0.02,0.06,0.02,0.02,0.4,0.02,0.02,0.02,0.02
2013-09-30,0.02,0.02,0.02,0.02,0.4,0.02,0.06,0.02,0.02,0.4
2013-12-31,0.4,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.02
2014-03-31,0.02,0.06,0.4,0.02,0.02,0.02,0.02,0.02,0.4,0.02
2014-06-30,0.02,0.4,0.02,0.02,0.02,0.051,0.029,0.02,0.4,0.02
2014-09-30,0.02,0.4,0.4,0.02,0.02,0.02,0.02,0.06,0.02,0.02
2014-12-31,0.4,0.02,0.02,0.02,0.4,0.02,0.02,0.02,0.02,0.06
2015-03-31,0.02,0.4,0.06,0.4,0.02,0.02,0.02,0.02,0.02,0.02
2015-06-30,0.4,0.02,0.02,0.02,0.4,0.02,0.02,0.06,0.02,0.02
2015-09-30,0.4,0.06,0.02,0.4,0.02,0.02,0.02,0.02,0.02,0.02
2015-12-31,0.02,0.02,0.02,0.02,0.4,0.02,0.02,0.4,0.06,0.02
2016-03-31,0.02,0.4,0.4,0.06,0.02,0.02,0.02,0.02,0.02,0.02
2016-06-30,0.4,0.02,0.4,0.06,0.02,0.02,0.02,0.02,0.02,0.02
2016-09-30,0.4,0.02,0.02,0.02,0.4,0.02,0.02,0.02,0.06,0.02
2016-12-30,0.4,0.02,0.02,0.02,0.02,0.4,0.02,0.02,0.02,0.06
2017-03-31,0.02,0.02,0.4,0.02,0.02,0.02,0.02,0.06,0.02,0.4
2017-06-30,0.02,0.02,0.02,0.4,0.4,0.02,0.06,0.02,0.02,0.02
2017-09-29,0.4,0.02,0.02,0.4,0.02,0.02,0.06,0.02,0.02,0.02
2017-12-29,0.02,0.4,0.02,0.4,0.02,0.02,0.06,0.02,0.02,0.02
2018-03-30,0.02,0.4,0.02,0.02,0.4,0.02,0.02,0.02,0.06,0.02
2018-06-29,0.02,0.06,0.4,0.02,0.02,0.02,0.02,0.4,0.02,0.02
2018-09-28,0.4,0.02,0.02,0.02,0.02,0.06,0.4,0.02,0.02,0.02
2018-12-31,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.4,0.02
