dt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2008-09-30,0.02,0.0599999999840737,0.4,0.4,0.02,0.02,0.02,0.02,0.02,0.02
2008-12-31,0.118547614447345,0.136252872911255,0.110395609337717,0.10563445310248,0.0715204428505936,0.100862230646282,0.0780244887391687,0.0936911468885574,0.0901456683513689,0.0949254721937725
2009-03-31,0.02,0.4,0.0599999999999219,0.02,0.02,0.4,0.02,0.02,0.02,0.02
2009-06-30,0.4,0.02,0.4,0.020000000175392,0.0200000008912484,0.0599999997845192,0.02,0.0200000002960301,0.0200000001225383,0.0200000000206253
2009-09-30,0.4,0.0599999999999997,0.02,0.4,0.02,0.02,0.02,0.02,0.02,0.02
2009-12-31,0.4,0.02,0.4,0.02,0.0599999999991057,0.02,0.02,0.02,0.02,0.02
2010-03-31,0.0200000000000003,0.02,0.0200000000000002,0.4,0.0200000000000001,0.0200000000000001,0.4,0.0600000000000002,0.02,0.02
2010-06-30,0.0200000000000001,0.02,0.0200000000000001,0.0200000000000001,0.0200000000000001,0.0599999999999915,0.4,0.4,0.02,0.02
2010-09-30,0.02,0.02,0.02,0.02,0.4,0.4,0.0600000000002461,0.02,0.02,0.02
2010-12-31,0.4,0.02,0.02,0.02,0.4,0.06,0.02,0.02,0.02,0.02
2011-03-31,0.399999999999028,0.0200000000086897,0.0200000001297374,0.0200000000111438,0.399999999944448,0.0599999998090767,0.0200000000270383,0.0200000000354492,0.0200000000148208,0.0200000000248692
2011-06-30,0.02,0.4,0.02,0.4,0.02,0.02,0.02,0.0206586307906587,0.0200000000011545,0.0593413692585842
2011-09-30,0.399999999999982,0.0200000000000003,0.0200000000000002,0.0599999999816734,0.0200000000004404,0.0200000000000011,0.0200000000004823,0.4,0.0200000000000001,0.0200000000297764
2011-12-30,0.02,0.02,0.4,0.02,0.4,0.02,0.02,0.02,0.0599999999938484,0.02
2012-03-30,0.4,0.02,0.02,0.02,0.0600000000000023,0.02,0.02,0.4,0.02,0.02
2012-06-29,0.4,0.02,0.02,0.4,0.0599999999999999,0.02,0.02,0.02,0.02,0.02
2012-09-28,0.4,0.02,0.02,0.4,0.02,0.02,0.0599999999999998,0.02,0.02,0.02
2012-12-31,0.4,0.02,0.02,0.02,0.02,0.4,0.02,0.02,0.0600000000000001,0.02
2013-03-28,0.02,0.02,0.02,0.02,0.4,0.02,0.02,0.02,0.0600000000127082,0.4
2013-06-28,0.4,0.0600000000000001,0.4,0.02,0.02,0.0200000000000001,0.0200000000000003,0.02,0.02,0.02
2013-09-30,0.4,0.02,0.02,0.0600000000675377,0.02,0.02,0.4,0.02,0.02,0.02
2013-12-31,0.4,0.4,0.02,0.02,0.0202178133015246,0.0597821865621149,0.0200000000351333,0.02,0.02,0.02
2014-03-31,0.02,0.4,0.02,0.02,0.02,0.0200000000000001,0.0200000000000001,0.06,0.02,0.4
2014-06-30,0.02,0.4,0.0200000003329005,0.020001138086306,0.02,0.02,0.4,0.0599988619373868,0.0200000000571849,0.02000000035915
2014-09-30,0.4,0.02,0.4,0.02,0.0600000000000002,0.02,0.02,0.02,0.02,0.02
2014-12-31,0.4,0.02,0.4,0.02,0.0600000000003212,0.02,0.02,0.02,0.02,0.02
2015-03-31,0.4,0.4,0.02,0.02,0.02,0.02,0.0200000006618811,0.02,0.0595861807178369,0.0204138186972088
2015-06-30,0.02,0.0200000000000003,0.02,0.4,0.02,0.0600000000000001,0.02,0.4,0.02,0.0200000000000011
2015-09-30,0.02,0.02,0.02,0.06,0.4,0.02,0.02,0.02,0.4,0.02
2015-12-31,0.0200000000000001,0.4,0.02,0.4,0.0200000000000003,0.0599999999999997,0.0200000000000001,0.0200000000000001,0.0200000000000004,0.02
2016-03-31,0.06,0.02,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.4
2016-06-30,0.02,0.4,0.02,0.0200001617640817,0.02,0.4,0.02,0.0599998382138713,0.02,0.02
2016-09-30,0.4,0.0200000001364552,0.02,0.4,0.02,0.02,0.020000000062022,0.02,0.0200000001919815,0.0600000005483394
2016-12-30,0.4,0.02,0.02,0.02,0.0600000000000001,0.02,0.02,0.4,0.02,0.02
2017-03-31,0.4,0.4,0.02,0.02,0.0600000000007475,0.02,0.02,0.02,0.02,0.02
2017-06-30,0.02,0.02,0.4,0.06,0.4,0.02,0.02,0.02,0.02,0.02
2017-09-29,0.4,0.02,0.02,0.02,0.02,0.4,0.02,0.0599999999998628,0.02,0.02
2017-12-29,0.4,0.02,0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.4
2018-03-29,0.4,0.0200000003112056,0.02,0.4,0.0245026813840754,0.02,0.02,0.0200000004671237,0.0554973178968851,0.02
2018-06-29,0.4,0.0599999999999999,0.02,0.02,0.4,0.02,0.02,0.02,0.02,0.02
2018-09-28,0.4,0.0200097259364899,0.0200000005573246,0.02,0.0599902738907786,0.02,0.4,0.02,0.02,0.02
